Name;Land;Form;Träger;Promotionsrecht;Gründung;Studierende;Stand
Justus-Liebig-Universität Gießen; HE;Uni;staatlich;ja;1607;27.727;2019/20 (WS)
Technische Hochschule Mittelhessen (Gießen, Friedberg, Wetzlar); HE;FH;staatlich;ja;1971;18.684;2019/20 (WS)
Thüringer Fachhochschule für öffentliche Verwaltung (Gotha, Meiningen); TH;FH;staatlich;nein;1994;396;2012/13 (WS)
Georg-August-Universität Göttingen; NI;Uni;staatlich;ja;1734;30.153;2019/20 (WS)
PFH Private Hochschule Göttingen; NI;FH;privat;nein;1994;2.013;2012/13 (WS)
Universität Greifswald; MV;Uni;staatlich;ja;1456;10.058;2019/20 (WS)
Fachhochschule für öffentliche Verwaltung, Polizei und Rechtspflege (Güstrow); MV;FH;staatlich;nein;1991;466;2012/13 (WS)
Hochschule der Deutschen Bundesbank (Hachenburg); RP;FH;staatlich;nein;1976;317;2012/13 (WS)
Fernuniversität in Hagen; NW;Uni;staatlich;ja;1974;67.873;2019/20 (WS)
Burg Giebichenstein Kunsthochschule Halle; ST;FH;staatlich;ja;1879;1.059;2012/13 (WS)
Evangelische Hochschule für Kirchenmusik Halle; ST;FH;konfessionell;nein;1993;49;2012/13 (WS)
Martin-Luther-Universität Halle-Wittenberg; ST;Uni;staatlich;ja;1502/1694/ 1817;20.096;2019/20 (WS)
Bucerius Law School; HH;Uni;privat;ja;2000;858;2019/20 (WS)
Brand University of Applied Sciences; HH;FH;privat;nein;2010;90;2012/13 (WS)
EBC Hochschule; HH;FH;privat;nein;2008;873;2012/13 (WS)
Europäische Fernhochschule Hamburg; HH;FH;privat;nein;2003;7.025;2016/17 (WS)
Evangelische Hochschule für Soziale Arbeit & Diakonie; HH;FH;konfessionell;nein;1971;454;2012/13 (WS)
HafenCity Universität Hamburg; HH;Uni;staatlich;ja;2006;2.316;2019/20 (WS)
Hamburger Fern-Hochschule; HH;FH;privat;nein;1997;9.383;2012/13 (WS)
HSBA Hamburg School of Business Administration; HH;FH;privat;nein;2004;1.000;2017/18 (WS)
Hochschule für Angewandte Wissenschaften Hamburg; HH;FH;staatlich;nein;1970;16.746;2018/19 (WS)
Hochschule für bildende Künste Hamburg; HH;FH;staatlich;ja;1767;884;2012/13 (WS)
Hochschule für Musik und Theater Hamburg; HH;FH;staatlich;ja;1950;1.252;2012/13 (WS)
Norddeutsche Akademie für Finanzen und Steuerrecht (Hamburg); HH;FH;staatlich;nein;2007;359;2012/13 (WS)
Northern Institute of Technology Management (Hamburg); HH;Uni;privat;ja;1998;30;2019/20 (WS)
International Business School of Service Management (Hamburg); HH;FH;privat;nein;2006;74;2012/13 (WS)
Kühne Logistics University (Hamburg); HH;Uni;privat;ja;2010;343;2019/20 (WS)
MSH Medical School Hamburg; HH;FH;privat;nein;2009;1.078;2013/14 (WS)
Technische Universität Hamburg; HH;Uni;staatlich;ja;1978;7.615;2019/20 (WS)
Universität Hamburg; HH;Uni;staatlich;ja;1919;43.509;2019/20 (WS)
Hochschule Weserbergland (Hameln); NI;FH;privat;nein;2010;453;2018/19 (WS)
Hochschule Hamm-Lippstadt; NW;FH;staatlich;nein;2009;4.500;2015/16 (WS)
SRH Hochschule Hamm; NW;FH;privat;nein;2004;495;2012/13 (WS)
Fachhochschule für die Wirtschaft Hannover; NI;FH;privat;nein;1996;473;2012/13 (WS)
Gottfried Wilhelm Leibniz Universität Hannover; NI;Uni;staatlich;ja;1831;30.454;2019/20 (WS)
Hochschule für Musik, Theater und Medien Hannover; NI;FH;staatlich;ja;1897;1.287;2012/13 (WS)
Hochschule Hannover; NI;FH;staatlich;nein;1971;10.040;2015/16 (WS)
Kommunale Hochschule für Verwaltung in Niedersachsen (Hannover); NI;FH;privat;nein;2007;806;2012/13 (WS)
Leibniz-Akademie Hannover (Hannover); NI;FH;privat;nein;1920;311;2012/13 (WS)
Medizinische Hochschule Hannover; NI;Uni;staatlich;ja;1961;3.465;2019/20 (WS)
Stiftung Tierärztliche Hochschule Hannover; NI;Uni;staatlich;ja;1778;2.410;2019/20 (WS)
Fachhochschule Westküste (Heide); SH;FH;staatlich;nein;1993;1.320;2012/13 (WS)
Hochschule für Jüdische Studien Heidelberg; BW;FH;konfessionell;ja;1979;98;2019/20 (WS)
Hochschule für Kirchenmusik Heidelberg; BW;FH;konfessionell;nein;1931;;
Pädagogische Hochschule Heidelberg; BW;PH;staatlich;ja;1904;4.458;2016/17 (WS)
Ruprecht-Karls-Universität Heidelberg; BW;Uni;staatlich;ja;1386;27.818;2019/20 (WS)
SRH Hochschule Heidelberg; BW;FH;privat;nein;1972;2.769;2012/13 (WS)
Hochschule Heilbronn; BW;FH;staatlich;nein;1961;7.917;2012/13 (WS)
German Graduate School of Management and Law (Heilbronn); BW;FH;privat;nein;2005;128;2012/13 (WS)
Hochschule für Kirchenmusik der Evangelischen Kirche von Westfalen (Herford); NW;FH;konfessionell;nein;1948;38;2012/13 (WS)
Fachhochschule für Interkulturelle Theologie Hermannsburg; NI;FH;konfessionell;nein;2012;15;2012/13 (WS)
Norddeutsche Hochschule für Rechtspflege (Hildesheim); NI;FH;staatlich;nein;2007;267;2012/13 (WS)
Universität Hildesheim; NI;Uni;staatlich;ja;1946;8.439;2019/20 (WS)
Hochschule Hildesheim/Holzminden/Göttingen; NI;FH;staatlich;nein;1971;5.193;2012/13 (WS)
Hochschule für Angewandte Wissenschaften Hof; BY;FH;staatlich;nein;1994;3.041;2012/13 (WS)
Hochschule Fresenius (Idstein); HE;FH;privat;nein;1848;5.708;2012/13 (WS)
Technische Universität Ilmenau; TH;Uni;staatlich;ja;1894;5.425;2019/20 (WS)
Technische Hochschule Ingolstadt; BY;FH;staatlich;nein;1994;5.800;2017/18 (WS)
University of Applied Sciences Europe (Iserlohn, Hamburg, Berlin);" NW
 HH
 BE";FH;privat;nein;2017;2.716;2018/19 (WS)
Fachhochschule Südwestfalen (Iserlohn); NW;FH;staatlich;nein;2002;14.017;2016/17 (WS)
Naturwissenschaftlich-Technische Akademie Isny; BW;FH;privat;nein;1945;194;2012/13 (WS)
Ernst-Abbe-Hochschule Jena; TH;FH;staatlich;nein;1991;4.702;2012/13 (WS)
Friedrich-Schiller-Universität Jena; TH;Uni;staatlich;ja;1558;17.066;2019/20 (WS)
Hochschule Kaiserslautern; RP;FH;staatlich;nein;1971;6.107;2017/18 (WS)
Technische Universität Kaiserslautern; RP;Uni;staatlich;ja;1970;14.453;2019/20 (WS)
Hochschule für Musik Karlsruhe; BW;FH;staatlich;ja;1812;598;2016/17 (WS)
Hochschule Karlsruhe – Technik und Wirtschaft; BW;FH;staatlich;nein;1971;7.672;2012/13 (WS)
Karlshochschule International University (Karlsruhe); BW;FH;privat;nein;2004;636;2012/13 (WS)
